path,user_prompt,chatGPT_eval
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-20/2972,"topic 1: song, album, music, number, video, single, songs, chart, released, band
topic 2: ship, ships, guns, war, fleet, tons, long, class, british, gun
topic 3: king, french, army, war, battle, son, death, time, military, spanish
topic 4: government, state, president, political, election, party, law, public, campaign, minister
topic 5: book, work, published, world, god, century, time, language, english, use
topic 6: game, games, player, released, series, version, players, characters, release, new
topic 7: film, films, role, production, million, released, story, character, best, time
topic 8: team, game, season, games, second, points, time, year, won, yard
topic 9: episode, series, season, character, episodes, television, time, said, viewers, doctor
topic 10: city, area, water, company, park, river, million, years, land, population
topic 11: match, championship, team, event, title, defeated, wrestling, episode, won, ring
topic 12: station, line, aircraft, system, new, use, design, trains, air, time
topic 13: highway, road, route, north, state, east, south, bridge, west, street
topic 14: building, century, built, castle, church, site, new, buildings, tower, stone
topic 15: race, lap, second, oxford, cambridge, car, time, horse, horses, lead
topic 16: war, british, men, command, forces, general, division, battalion, military, army
topic 17: storm, tropical, hurricane, winds, depression, mph, september, damage, cyclone, system
topic 18: season, runs, game, team, innings, games, series, played, home, second
topic 19: species, found, known, long, white, small, like, large, water, shark
topic 20: later, years, life, family, time, said, year, death, school, born",0
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-40/2972,"topic 1: police, said, case, death, found, trial, prison, murder, people, later
topic 2: race, lap, second, oxford, car, cambridge, time, lead, place, drivers
topic 3: said, like, character, time, life, love, relationship, later, people, way
topic 4: ship, ships, guns, war, tons, long, class, german, gun, fleet
topic 5: war, battalion, division, brigade, regiment, men, infantry, units, german, army
topic 6: team, season, game, points, nba, basketball, games, player, year, career
topic 7: series, season, episode, television, episodes, released, characters, character, second, dvd
topic 8: book, published, work, story, wrote, art, works, books, stories, magazine
topic 9: tropical, storm, depression, hurricane, cyclone, system, season, winds, september, mph
topic 10: government, war, political, military, party, minister, country, german, new, state
topic 11: stage, tour, ride, park, concert, dance, train, coaster, new, roller
topic 12: film, films, role, production, million, released, movie, release, director, cast
topic 13: station, line, railway, trains, bridge, new, construction, service, train, built
topic 14: album, band, music, song, songs, released, rock, guitar, track, recording
topic 15: world, won, games, olympics, time, team, final, round, olympic, event
topic 16: election, state, president, law, government, campaign, political, governor, party, public
topic 17: poem, language, english, text, written, poems, words, poetry, word, poet
topic 18: episode, series, doctor, season, character, time, star, story, trek, set
topic 19: aircraft, design, engine, flight, air, speed, production, system, built, fuel
topic 20: years, later, life, family, time, year, born, father, died, career",1
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-60/2972,"topic 1: king, son, royal, death, england, died, henry, lord, father, reign
topic 2: series, season, episode, episodes, television, second, viewers, cast, character, finale
topic 3: madonna, carey, tour, gaga, spears, dance, video, like, performance, music
topic 4: women, school, students, children, education, schools, gay, men, college, university
topic 5: game, team, season, points, yard, second, nba, yards, football, basketball
topic 6: war, battalion, division, brigade, regiment, command, units, men, infantry, forces
topic 7: election, president, state, campaign, governor, political, vote, elected, senate, republican
topic 8: years, later, family, life, time, born, father, died, death, year
topic 9: race, lap, car, second, drivers, position, team, points, lead, season
topic 10: episode, jack, series, season, liz, parker, television, christmas, tracy, simpsons
topic 11: ship, ships, british, german, fleet, war, admiral, april, crew, naval
topic 12: match, championship, team, event, title, wrestling, defeated, episode, ring, wwe
topic 13: aircraft, air, squadron, wing, flight, flying, fighter, war, pilot, training
topic 14: season, game, games, home, league, runs, baseball, team, hit, career
topic 15: tropical, storm, depression, hurricane, cyclone, system, season, winds, september, mph
topic 16: formula, function, number, space, form, called, line, system, example, point
topic 17: race, oxford, cambridge, boat, won, blues, time, crew, lengths, races
topic 18: film, films, million, released, release, production, movie, director, filming, scene
topic 19: government, political, party, minister, support, new, military, members, country, leader
topic 20: war, german, french, polish, russian, germany, hitler, poland, france, russia",1
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-80/2972,"topic 1: squadron, aircraft, air, flying, wing, war, training, fighter, pilot, flight
topic 2: company, million, business, new, year, sold, market, billion, management, companies
topic 3: law, court, act, singapore, rights, state, case, legal, public, government
topic 4: announced, media, million, television, day, october, september, march, people, radio
topic 5: arab, muslim, israel, egypt, croatia, syria, mosque, muhammad, jewish, muslims
topic 6: team, season, game, points, nba, basketball, games, player, year, career
topic 7: film, role, award, actor, films, played, best, appeared, year, performance
topic 8: hurricane, storm, damage, winds, mph, tropical, september, florida, rainfall, caused
topic 9: water, area, river, lake, miles, feet, creek, park, mountain, near
topic 10: city, area, street, chicago, located, population, district, center, community, home
topic 11: london, british, england, britain, sir, wales, road, local, new, centre
topic 12: park, ride, coaster, train, roller, riders, track, hill, feet, opened
topic 13: building, church, built, century, buildings, tower, site, house, feet, hall
topic 14: episode, michael, office, jim, dwight, series, pam, andy, season, received
topic 15: family, life, later, years, time, father, death, born, died, wife
topic 16: harrison, album, beatles, song, track, lee, world, guitar, recording, pass
topic 17: women, church, christian, men, gay, smith, god, religious, sex, children
topic 18: world, life, human, nature, god, theory, new, view, age, self
topic 19: episode, peter, fringe, olivia, walter, fox, jones, season, series, thompson
topic 20: episode, series, doctor, star, trek, enterprise, time, season, episodes, crew",1
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-100/2972,"topic 1: film, films, million, release, production, released, movie, director, filming, cast
topic 2: play, musical, music, theatre, stage, dance, production, broadway, performed, performance
topic 3: series, doctor, episode, bbc, broadcast, jack, time, amy, episodes, television
topic 4: art, painting, museum, work, century, collection, works, artists, artist, memorial
topic 5: food, wine, meat, salt, beer, chicken, product, cheese, cooking, served
topic 6: music, soundtrack, album, game, tracks, released, original, series, composed, square
topic 7: party, government, election, minister, prime, parliament, leader, labour, political, general
topic 8: match, championship, team, event, wrestling, title, episode, defeated, ring, wwe
topic 9: india, arab, muslim, israel, indian, egypt, muhammad, syria, mosque, government
topic 10: chinese, temple, china, known, dynasty, han, century, tradition, armenian, ancient
topic 11: episode, series, season, jack, liz, television, viewers, tracy, million, guest
topic 12: family, life, years, later, father, time, death, born, died, mother
topic 13: ride, train, coaster, roller, park, riders, track, hill, feet, opened
topic 14: game, points, season, team, nba, games, basketball, player, rebounds, point
topic 15: australia, australian, war, japanese, training, new_zealand, following, world, units, sydney
topic 16: castle, century, built, stone, castles, tower, england, war, walls, scotland
topic 17: formula, function, space, number, force, point, called, line, constant, set
topic 18: film, role, award, television, best, year, actor, appeared, played, awards
topic 19: series, released, japan, japanese, manga, smith, anime, clark, story, characters
topic 20: war, unit, forces, military, korean, training, operations, support, units, combat",1
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-120/2972,"topic 1: squadron, aircraft, air, flying, wing, training, fighter, war, raaf, pilot
topic 2: species, birds, bird, found, breeding, black, eggs, nest, male, range
topic 3: research, work, nuclear, president, professor, director, worked, science, physics, world
topic 4: tour, spears, concert, stage, performance, dance, video, live, shows, performed
topic 5: game, games, player, players, released, video, version, gameplay, series, release
topic 6: division, brigade, regiment, german, infantry, attack, men, artillery, troops, day
topic 7: game, player, characters, games, character, released, players, world, series, story
topic 8: said, public, stated, media, people, government, group, rights, report, reported
topic 9: song, gaga, west, album, music, hop, hip, track, video, rap
topic 10: storm, damage, hurricane, people, winds, flooding, florida, rainfall, million, state
topic 11: series, season, episode, episodes, television, character, characters, cast, aired, simpsons
topic 12: memorial, stone, war, monument, statue, portland, lighthouse, cemetery, sculpture, site
topic 13: play, theatre, musical, production, stage, broadway, music, dance, performed, performances
topic 14: highway, route, state, road, north, east, south, west, near, street
topic 15: station, line, trains, railway, train, service, services, london, class, stations
topic 16: song, carey, beyoncé, chart, number, album, songs, music, singer, latin
topic 17: contest, award, awards, festival, jones, final, won, year, song, winner
topic 18: company, product, sales, sold, new, brand, products, market, store, cards
topic 19: bridge, river, built, canal, construction, mill, feet, pier, bridges, water
topic 20: song, harrison, guitar, album, band, songs, recorded, recording, beatles, music",1
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-140/2972,"topic 1: harrison, beatles, album, song, track, recording, morrison, guitar, world, songs
topic 2: british, men, troops, fort, general, american, battle, washington, militia, forces
topic 3: ships, french, british, ship, fleet, captain, admiral, squadron, battle, naval
topic 4: play, theatre, musical, production, stage, broadway, music, performed, performances, performance
topic 5: australia, australian, miller, victoria, new_zealand, sydney, harvey, new_south_wales, melbourne, queensland
topic 6: story, stories, comic, series, published, fiction, comics, magazine, novel, book
topic 7: church, century, stone, built, wall, north, south, chapel, building, west
topic 8: party, election, government, minister, parliament, prime, labour, leader, elected, general
topic 9: police, murder, said, death, crime, found, gun, killed, later, shooting
topic 10: west, hop, hip, song, album, music, rap, track, production, jay-z
topic 11: art, smith, painting, museum, work, collection, works, paintings, artists, artist
topic 12: army, battle, forces, city, war, force, troops, men, persian, siege
topic 13: song, beyoncé, love, rihanna, songs, lewis, singer, wrote, performance, number
topic 14: film, million, released, batman, effects, films, release, character, production, movie
topic 15: carey, jackson, christmas, song, mariah, album, michael_jackson, version, music, thriller
topic 16: company, product, sales, brand, sold, products, new, market, advertising, design
topic 17: women, gay, men, children, woman, sex, sexual, female, male, child
topic 18: company, million, business, bank, financial, companies, year, money, firm, billion
topic 19: king, england, henry, english, lord, sir, london, earl, edward, royal
topic 20: poem, poems, poetry, poet, works, work, published, literary, lines, written",1
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-160/2972,"topic 1: nuclear, research, physics, work, scientific, science, professor, energy, atomic, experiment
topic 2: chinese, japanese, china, japan, han, korean, indonesian, indonesia, government, singapore
topic 3: german, war, french, germany, hitler, france, russian, world, soviet, paris
topic 4: art, painting, work, artist, hair, artists, created, white, painted, paintings
topic 5: law, singapore, act, rights, constitution, public, article, right, parliament, court
topic 6: aircraft, air, radar, system, service, flight, missiles, missile, raf, systems
topic 7: storm, hurricane, damage, people, flooding, rainfall, winds, million, state, damaged
topic 8: food, wine, meat, beer, chicken, salt, cheese, cooking, bacon, served
topic 9: game, points, nba, season, team, games, rebounds, player, basketball, assists
topic 10: century, known, according, later, time, found, early, text, modern, evidence
topic 11: band, album, song, rock, released, songs, release, guitar, tour, track
topic 12: johnson, race, won, year, racing, races, roberts, horse, win, second
topic 13: london, british, bbc, programme, britain, series, england, television, jones, broadcast
topic 14: plants, plant, species, tree, leaves, trees, flowers, garden, soil, native
topic 15: war, military, forces, united_states, weapons, operations, navy, training, world, special
topic 16: state, election, governor, elected, senate, term, law, office, republican, served
topic 17: women, gay, men, sex, woman, children, sexual, female, male, work
topic 18: church, century, chapel, cathedral, north, window, south, parish, nave, west
topic 19: squadron, aircraft, air, flying, wing, fighter, training, pilot, raaf, flight
topic 20: emperor, byzantine, army, city, son, armenian, constantine, military, imperial, empire",1
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-180/2972,"topic 1: species, animals, animal, study, evolution, research, human, change, natural, organisms
topic 2: album, band, song, songs, guitar, track, recording, rock, music, released
topic 3: shark, species, sharks, long, fin, fins, small, females, large, dorsal
topic 4: tropical, storm, hurricane, season, depression, september, storms, october, august, damage
topic 5: released, game, key, story, version, tales, characters, persona, titled, theme
topic 6: team, football, season, game, coach, teams, players, played, games, head
topic 7: character, season, characters, episode, stargate, series, mitchell, producers, role, felt
topic 8: design, system, computer, code, use, data, information, software, systems, time
topic 9: game, player, players, games, gameplay, version, released, graphics, mode, release
topic 10: australia, test, innings, match, miller, runs, england, second, took, team
topic 11: song, video, beyoncé, music, number, love, track, rihanna, single, dance
topic 12: film, role, actor, played, appeared, starred, award, performance, comedy, year
topic 13: division, regiment, brigade, german, men, infantry, attack, artillery, troops, day
topic 14: research, nuclear, physics, work, professor, science, scientific, director, war, atomic
topic 15: french, ships, ship, british, fleet, captain, admiral, squadron, battle, naval
topic 16: game, series, games, nintendo, characters, japan, released, character, mario, world
topic 17: ships, guns, class, tons, long, turrets, design, war, gun, main
topic 18: bbc, british, television, radio, london, broadcast, programme, series, second, britain
topic 19: tropical, storm, hurricane, depression, system, september, low, august, mph, winds
topic 20: episode, liz, jack, tracy, nbc, rock, fey, series, jenna, television",0
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-200/2972,"topic 1: said, media, stated, people, news, public, video, website, reported, twitter
topic 2: cards, card, magic, players, poker, game, games, player, gambling, casino
topic 3: space, mission, earth, apollo, spacecraft, launch, nasa, moon, flight, crew
topic 4: game, nintendo, games, series, mario, released, player, super, japan, sonic
topic 5: french, polish, france, russian, poland, paris, russia, swedish, romanian, austrian
topic 6: president, campaign, election, presidential, bush, republican, political, senator, clinton, senate
topic 7: harrison, beatles, album, world, pass, things, guitar, track, lord, george_harrison
topic 8: species, cap, fruit, stem, fungus, brown, spores, bodies, white, surface
topic 9: plants, plant, tree, leaves, trees, flowers, garden, gardens, flower, wood
topic 10: temple, king, built, century, monastery, site, palace, metres, stone, tomb
topic 11: character, story, time, plot, scene, find, like, characters, man, end
topic 12: women, children, woman, men, female, sex, child, work, male, family
topic 13: nuclear, research, physics, professor, work, war, science, experiment, energy, scientists
topic 14: episode, liz, jack, tracy, series, nbc, rock, fey, season, jenna
topic 15: british, washington, fort, american, men, troops, general, militia, howe, french
topic 16: bond, lucas, film, james_bond, series, anderson, agent, sequence, filming, secret
topic 17: album, music, song, track, west, hop, hip, production, rap, features
topic 18: batman, marvel, comic, adams, cole, character, series, universe, spider, superhero
topic 19: time, new, later, began, following, day, year, october, end, second
topic 20: medical, hospital, health, treatment, care, patients, patient, cancer, disease, use",1
