path,user_prompt,chatGPT_eval
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-20/2972,"topic 1: song, album, music, number, video, single, songs, chart, released, band
topic 2: ship, ships, guns, war, fleet, tons, long, class, british, gun
topic 3: king, french, army, war, battle, son, death, time, military, spanish
topic 4: government, state, president, political, election, party, law, public, campaign, minister
topic 5: book, work, published, world, god, century, time, language, english, use
topic 6: game, games, player, released, series, version, players, characters, release, new
topic 7: film, films, role, production, million, released, story, character, best, time
topic 8: team, game, season, games, second, points, time, year, won, yard
topic 9: episode, series, season, character, episodes, television, time, said, viewers, doctor
topic 10: city, area, water, company, park, river, million, years, land, population",1
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-20/2972,"topic 1: game, games, player, released, series, version, players, characters, release, new
topic 2: highway, road, route, north, state, east, south, bridge, west, street
topic 3: race, lap, second, oxford, cambridge, car, time, horse, horses, lead
topic 4: team, game, season, games, second, points, time, year, won, yard
topic 5: ship, ships, guns, war, fleet, tons, long, class, british, gun
topic 6: book, work, published, world, god, century, time, language, english, use
topic 7: song, album, music, number, video, single, songs, chart, released, band
topic 8: city, area, water, company, park, river, million, years, land, population
topic 9: king, french, army, war, battle, son, death, time, military, spanish
topic 10: war, british, men, command, forces, general, division, battalion, military, army",1
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-20/2972,"topic 1: ship, ships, guns, war, fleet, tons, long, class, british, gun
topic 2: city, area, water, company, park, river, million, years, land, population
topic 3: station, line, aircraft, system, new, use, design, trains, air, time
topic 4: race, lap, second, oxford, cambridge, car, time, horse, horses, lead
topic 5: government, state, president, political, election, party, law, public, campaign, minister
topic 6: building, century, built, castle, church, site, new, buildings, tower, stone
topic 7: war, british, men, command, forces, general, division, battalion, military, army
topic 8: storm, tropical, hurricane, winds, depression, mph, september, damage, cyclone, system
topic 9: later, years, life, family, time, said, year, death, school, born
topic 10: game, games, player, released, series, version, players, characters, release, new",0
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-20/2972,"topic 1: race, lap, second, oxford, cambridge, car, time, horse, horses, lead
topic 2: episode, series, season, character, episodes, television, time, said, viewers, doctor
topic 3: king, french, army, war, battle, son, death, time, military, spanish
topic 4: storm, tropical, hurricane, winds, depression, mph, september, damage, cyclone, system
topic 5: station, line, aircraft, system, new, use, design, trains, air, time
topic 6: match, championship, team, event, title, defeated, wrestling, episode, won, ring
topic 7: species, found, known, long, white, small, like, large, water, shark
topic 8: team, game, season, games, second, points, time, year, won, yard
topic 9: season, runs, game, team, innings, games, series, played, home, second
topic 10: building, century, built, castle, church, site, new, buildings, tower, stone",0
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-20/2972,"topic 1: song, album, music, number, video, single, songs, chart, released, band
topic 2: film, films, role, production, million, released, story, character, best, time
topic 3: highway, road, route, north, state, east, south, bridge, west, street
topic 4: king, french, army, war, battle, son, death, time, military, spanish
topic 5: team, game, season, games, second, points, time, year, won, yard
topic 6: city, area, water, company, park, river, million, years, land, population
topic 7: government, state, president, political, election, party, law, public, campaign, minister
topic 8: book, work, published, world, god, century, time, language, english, use
topic 9: building, century, built, castle, church, site, new, buildings, tower, stone
topic 10: station, line, aircraft, system, new, use, design, trains, air, time",1
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-20/2972,"topic 1: game, games, player, released, series, version, players, characters, release, new
topic 2: city, area, water, company, park, river, million, years, land, population
topic 3: war, british, men, command, forces, general, division, battalion, military, army
topic 4: film, films, role, production, million, released, story, character, best, time
topic 5: station, line, aircraft, system, new, use, design, trains, air, time
topic 6: book, work, published, world, god, century, time, language, english, use
topic 7: team, game, season, games, second, points, time, year, won, yard
topic 8: ship, ships, guns, war, fleet, tons, long, class, british, gun
topic 9: episode, series, season, character, episodes, television, time, said, viewers, doctor
topic 10: song, album, music, number, video, single, songs, chart, released, band",1
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-20/2972,"topic 1: war, british, men, command, forces, general, division, battalion, military, army
topic 2: game, games, player, released, series, version, players, characters, release, new
topic 3: government, state, president, political, election, party, law, public, campaign, minister
topic 4: song, album, music, number, video, single, songs, chart, released, band
topic 5: match, championship, team, event, title, defeated, wrestling, episode, won, ring
topic 6: storm, tropical, hurricane, winds, depression, mph, september, damage, cyclone, system
topic 7: city, area, water, company, park, river, million, years, land, population
topic 8: episode, series, season, character, episodes, television, time, said, viewers, doctor
topic 9: species, found, known, long, white, small, like, large, water, shark
topic 10: highway, road, route, north, state, east, south, bridge, west, street",1
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-20/2972,"topic 1: film, films, role, production, million, released, story, character, best, time
topic 2: later, years, life, family, time, said, year, death, school, born
topic 3: station, line, aircraft, system, new, use, design, trains, air, time
topic 4: king, french, army, war, battle, son, death, time, military, spanish
topic 5: game, games, player, released, series, version, players, characters, release, new
topic 6: war, british, men, command, forces, general, division, battalion, military, army
topic 7: episode, series, season, character, episodes, television, time, said, viewers, doctor
topic 8: building, century, built, castle, church, site, new, buildings, tower, stone
topic 9: book, work, published, world, god, century, time, language, english, use
topic 10: song, album, music, number, video, single, songs, chart, released, band",1
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-20/2972,"topic 1: species, found, known, long, white, small, like, large, water, shark
topic 2: season, runs, game, team, innings, games, series, played, home, second
topic 3: match, championship, team, event, title, defeated, wrestling, episode, won, ring
topic 4: king, french, army, war, battle, son, death, time, military, spanish
topic 5: government, state, president, political, election, party, law, public, campaign, minister
topic 6: episode, series, season, character, episodes, television, time, said, viewers, doctor
topic 7: later, years, life, family, time, said, year, death, school, born
topic 8: city, area, water, company, park, river, million, years, land, population
topic 9: ship, ships, guns, war, fleet, tons, long, class, british, gun
topic 10: song, album, music, number, video, single, songs, chart, released, band",0
runs/outputs/k_selection/wikitext-labeled/vocab_15k/k-20/2972,"topic 1: team, game, season, games, second, points, time, year, won, yard
topic 2: episode, series, season, character, episodes, television, time, said, viewers, doctor
topic 3: match, championship, team, event, title, defeated, wrestling, episode, won, ring
topic 4: king, french, army, war, battle, son, death, time, military, spanish
topic 5: game, games, player, released, series, version, players, characters, release, new
topic 6: song, album, music, number, video, single, songs, chart, released, band
topic 7: war, british, men, command, forces, general, division, battalion, military, army
topic 8: film, films, role, production, million, released, story, character, best, time
topic 9: species, found, known, long, white, small, like, large, water, shark
topic 10: season, runs, game, team, innings, games, series, played, home, second",1
